S,Pc kpa
0.21320802,20.3067
0.214745763,20.3067
0.368404738,18.8352
0.370619048,18.8352
0.284150538,17.2656
0.283969569,17.2656
0.243361345,16.3827
0.233676875,16.3827
0.208460687,15.5979
0.208887998,15.5979
0.1892097,13.3416
0.191699507,13.3416
0.152599532,11.2815
0.165651366,11.2815
0.136269528,9.4176
0.148271728,9.4176
0.139743492,7.4556
0.134092333,7.4556
0.21468417,5.4936
0.227485022,5.4936
0.370490405,4.5126
0.369531207,4.5126
0.614019392,3.4335
0.628207095,3.4335
0.723143646,2.5506
0.693631611,2.5506
0.807926888,1.5696
0.776729884,1.5696
0.95896473,0.3924
0.886779988,0.3924
0.934317578,0
1,0
